1,"{'custom_label': 'B01DIXQI24', 'no_of_times_sold': -1, 'product_name': b'Ezonetronics Car Camera | Car Video Recorder Full HD 1080P | Car Video Camera 4.', 'date_of_listing': '2018-01-19', 'price': '46.72', 'ebay_id': '263445988517', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2634459885176464_1.jpg'}"
2,"{'custom_label': 'B01N07VKIK', 'no_of_times_sold': -1, 'product_name': b'Rexing V1 Suction Cup Mount', 'date_of_listing': '2018-01-19', 'price': '7.95', 'ebay_id': '263445989303', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2634459893036464_1.jpg'}"
3,"{'custom_label': 'B000OVPB9A', 'no_of_times_sold': -1, 'product_name': b'SE 932NS 2 mm Number Punch Set(9 Piece)', 'date_of_listing': '2017-12-20', 'price': '4.99', 'ebay_id': '263396679855', 'seller_id': 23, 'quantity': '1', 'photo': 'http://thumbs.ebaystatic.com/pict/2633966798556464_1.jpg'}"
4,"{'custom_label': 'B0062PCMD0', 'no_of_times_sold': -1, 'product_name': b'SE 95440WB 4 mm Number & Letter Punch Set(36 Piece)', 'date_of_listing': '2017-12-20', 'price': '16.96', 'ebay_id': '263396680086', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2633966800866464_1.jpg'}"
5,"{'custom_label': 'B003T1U4VW', 'no_of_times_sold': -1, 'product_name': b'SE JT6510 Watch Case Opener with 3 Screw-On Tips', 'date_of_listing': '2017-12-20', 'price': '10.32', 'ebay_id': '263396680107', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2633966801076464_1.jpg'}"
6,"{'custom_label': 'B000O5JOS0', 'no_of_times_sold': -1, 'product_name': b'SE 8257HDB HSS Twist Drill Wire Guages(10 Piece)', 'date_of_listing': '2017-12-20', 'price': '7.97', 'ebay_id': '263396680153', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2633966801536464_1.jpg'}"
7,"{'custom_label': 'B009RLG9LM', 'no_of_times_sold': -1, 'product_name': b'SE JT6323WP Jumbo Watch Pin Set, 100-Piece', 'date_of_listing': '2017-12-20', 'price': '10.86', 'ebay_id': '263396680444', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2633966804446464_1.jpg'}"
8,"{'custom_label': 'B005KLW4PS', 'no_of_times_sold': -1, 'product_name': b'SE JT9214 Glass Top Display Box with Metal Clips, 14.5"" x 8"" x 0.75"" for jewelry', 'date_of_listing': '2017-12-20', 'price': '12.97', 'ebay_id': '263396681399', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2633966813996464_1.jpg'}"
9,"{'custom_label': 'B0025YDDA8', 'no_of_times_sold': -1, 'product_name': b'SE WS632-5 Heavy Duty Wooden Walking/Hiking Stick, 55""', 'date_of_listing': '2017-12-20', 'price': '22.79', 'ebay_id': '263396682017', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2633966820176464_1.jpg'}"
10,"{'custom_label': 'B009NYUK86', 'no_of_times_sold': -1, 'product_name': b'SE JT63057 Watchband Link Pin Remover', 'date_of_listing': '2017-12-20', 'price': '8.22', 'ebay_id': '263396682303', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2633966823036464_1.jpg'}"
1,"{'custom_label': 'B00R4EW5DA', 'no_of_times_sold': -1, 'product_name': b'SE JT9212 Glass Top Display Box with Metal Clips, 16\xe2\x80\x9d x 12\xe2\x80\x9d x 0.75""', 'date_of_listing': '2017-12-20', 'price': '15.47', 'ebay_id': '263396682896', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2633966828966464_1.jpg'}"
2,"{'custom_label': 'B001N9FT12', 'no_of_times_sold': -1, 'product_name': b'SE WS627-50 Wooden Walking/Hiking Stick with Hand-Carved Flower Design, 50""', 'date_of_listing': '2017-12-20', 'price': '17.25', 'ebay_id': '263396683309', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2633966833096464_1.jpg'}"
3,"{'custom_label': 'B000TY190C', 'no_of_times_sold': -1, 'product_name': b'SE 826HDP 20-Piece Wire Gauge 61-80 Twist Drills Set with Plastic Case', 'date_of_listing': '2017-12-20', 'price': '7.95', 'ebay_id': '263396683415', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2633966834156464_1.jpg'}"
4,"{'custom_label': 'B001BQF1AQ', 'no_of_times_sold': -1, 'product_name': b'SE LF01 Professional Quality Needle Nose Pliers', 'date_of_listing': '2017-12-20', 'price': '7.27', 'ebay_id': '263396684031', 'seller_id': 23, 'quantity': '2', 'photo': 'http://thumbs.ebaystatic.com/pict/2633966840316464_1.jpg'}"
